path_id,annualized_peg_vol,max_drawdown_pct,burn_avax,n_upward,n_downward,max_solvency_gap
286,0.0,0.0,312000.00000000297,594,1,0.0
287,0.0,0.0,312000.00000000297,615,1,0.0
288,0.0,0.0,312000.00000000297,565,1,0.0
289,0.0,0.0,312000.00000000297,620,2,0.0
290,0.0,0.0,312000.00000000297,382,2,0.0
291,0.0,0.0,312000.00000000297,683,1,0.0
292,0.0,0.0,312000.00000000297,673,1,0.0
293,0.0,0.0,312000.00000000297,467,2,0.0
294,0.0,0.0,312000.00000000297,543,1,0.0
295,0.0,0.0,312000.00000000297,706,1,0.0
296,0.0,0.0,312000.00000000297,703,1,0.0
297,0.0,0.0,312000.00000000297,394,1,0.0
298,0.0,0.0,312000.00000000297,615,1,0.0
299,0.0,0.0,312000.00000000297,414,2,0.0
300,0.0,0.0,312000.00000000297,540,1,0.0
301,0.0,0.0,312000.00000000297,676,1,0.0
302,0.0,0.0,312000.00000000297,702,1,0.0
303,0.0,0.0,312000.00000000297,722,1,0.0
304,0.0,0.0,312000.00000000297,675,1,0.0
305,0.0,0.0,312000.00000000297,675,1,0.0
306,0.0,0.0,312000.00000000297,590,1,0.0
307,0.0,0.0,312000.00000000297,686,1,0.0
308,0.0,0.0,312000.00000000297,721,1,0.0
309,0.0,0.0,312000.00000000297,581,1,0.0
310,0.0,0.0,312000.00000000297,670,1,0.0
311,0.0,0.0,312000.00000000297,715,1,0.0
312,0.0,0.0,312000.00000000297,679,1,0.0
313,0.0,0.0,312000.00000000297,594,2,0.0
314,0.0,0.0,312000.00000000297,694,1,0.0
315,0.0,0.0,312000.00000000297,662,1,0.0
316,0.0,0.0,312000.00000000297,702,1,0.0
317,0.0,0.0,312000.00000000297,707,1,0.0
318,0.0,0.0,312000.00000000297,289,1,0.0
319,0.0,0.0,312000.00000000297,535,1,0.0
320,0.0,0.0,312000.00000000297,570,2,0.0
321,0.0,0.0,312000.00000000297,646,1,0.0
322,0.0,0.0,312000.00000000297,611,2,0.0
323,0.0,0.0,312000.00000000297,702,1,0.0
324,0.0,0.0,312000.00000000297,381,1,0.0
325,0.0,0.0,312000.00000000297,347,2,0.0
326,0.0,0.0,312000.00000000297,550,1,0.0
327,0.0,0.0,312000.00000000297,448,2,0.0
328,0.0,0.0,312000.00000000297,447,2,0.0
329,0.0,0.0,312000.00000000297,538,2,0.0
330,0.0,0.0,312000.00000000297,618,1,0.0
331,0.0,0.0,312000.00000000297,689,1,0.0
332,0.0,0.0,312000.00000000297,565,2,0.0
333,0.0,0.0,312000.00000000297,581,2,0.0
334,0.0,0.0,312000.00000000297,616,1,0.0
335,0.0,0.0,312000.00000000297,687,1,0.0
336,0.0,0.0,312000.00000000297,645,1,0.0
337,0.0,0.0,312000.00000000297,640,1,0.0
338,0.0,0.0,312000.00000000297,638,1,0.0
339,0.0,0.0,312000.00000000297,551,2,0.0
340,0.0,0.0,312000.00000000297,574,1,0.0
341,0.0,0.0,312000.00000000297,707,1,0.0
342,0.0,0.0,312000.00000000297,711,1,0.0
343,0.0,0.0,312000.00000000297,535,1,0.0
344,0.0,0.0,312000.00000000297,704,1,0.0
345,0.0,0.0,312000.00000000297,540,1,0.0
346,0.0,0.0,312000.00000000297,625,1,0.0
347,0.0,0.0,312000.00000000297,655,1,0.0
348,0.0,0.0,312000.00000000297,584,1,0.0
349,0.0,0.0,312000.00000000297,652,1,0.0
350,0.0,0.0,312000.00000000297,626,1,0.0
351,0.0,0.0,312000.00000000297,699,1,0.0
352,0.0,0.0,312000.00000000297,541,2,0.0
353,0.0,0.0,312000.00000000297,674,1,0.0
354,0.0,0.0,312000.00000000297,647,1,0.0
355,0.0,0.0,312000.00000000297,624,2,0.0
356,0.0,0.0,312000.00000000297,682,1,0.0
357,0.0,0.0,312000.00000000297,689,1,0.0
358,0.0,0.0,312000.00000000297,532,1,0.0
359,0.0,0.0,312000.00000000297,685,1,0.0
360,0.0,0.0,312000.00000000297,650,1,0.0
361,0.0,0.0,312000.00000000297,619,2,0.0
362,0.0,0.0,312000.00000000297,662,1,0.0
363,0.0,0.0,312000.00000000297,493,2,0.0
364,0.0,0.0,312000.00000000297,704,1,0.0
365,0.0,0.0,312000.00000000297,377,1,0.0
366,0.0,0.0,312000.00000000297,656,1,0.0
367,0.0,0.0,312000.00000000297,727,1,0.0
368,0.0,0.0,312000.00000000297,665,1,0.0
369,0.0,0.0,312000.00000000297,552,1,0.0
370,0.0,0.0,312000.00000000297,460,2,0.0
371,0.0,0.0,312000.00000000297,683,1,0.0
372,0.0,0.0,312000.00000000297,673,1,0.0
373,0.0,0.0,312000.00000000297,703,1,0.0
374,0.0,0.0,312000.00000000297,575,1,0.0
375,0.0,0.0,312000.00000000297,691,1,0.0
376,0.0,0.0,312000.00000000297,452,2,0.0
377,0.0,0.0,312000.00000000297,544,2,0.0
378,0.0,0.0,312000.00000000297,536,1,0.0
379,0.0,0.0,312000.00000000297,370,2,0.0
380,0.0,0.0,312000.00000000297,661,1,0.0
381,0.0,0.0,312000.00000000297,694,1,0.0
382,0.0,0.0,312000.00000000297,388,3,0.0
383,0.0,0.0,312000.00000000297,608,1,0.0
384,0.0,0.0,312000.00000000297,647,1,0.0
